model_type	feature_set	outer_repeat	outer_fold	outer_split	n_train	n_test	n_train_low	n_train_high	n_test_low	n_test_high	n_input_features	n_after_variance	n_selected_features	best_k	best_c	best_inner_balanced_accuracy	fit_seconds	accuracy	balanced_accuracy	roc_auc_low	precision_low	recall_low	f1_low	mcc	true_low_pred_low	true_low_pred_high	true_high_pred_low	true_high_pred_high
logistic_regression	residue_residue	3	1	11	66	17	20	46	6	11	3982	3971	20	20	10.0	0.6355555555555554	8.045508767994761	0.7058823529411765	0.6590909090909092	0.8181818181818181	0.6	0.5	0.5454545454545454	0.3337119062359573	3	3	2	9
logistic_regression	residue_residue	3	2	12	66	17	21	45	5	12	3982	3970	10	10	100.0	0.5533333333333333	8.069914243998937	0.8235294117647058	0.8166666666666667	0.8833333333333333	0.6666666666666666	0.8	0.7272727272727273	0.6038596398555418	4	1	2	10
logistic_regression	residue_residue	3	3	13	66	17	21	45	5	12	3982	3971	10	10	100.0	0.7150000000000001	8.041290500004834	0.6470588235294118	0.6916666666666667	0.7166666666666667	0.4444444444444444	0.8	0.5714285714285714	0.34993385618385614	4	1	5	7
logistic_regression	residue_residue	3	4	14	67	16	21	46	5	11	3982	3971	10	10	10.0	0.7444444444444444	8.08417197700328	0.5	0.5272727272727272	0.6545454545454545	0.3333333333333333	0.6	0.42857142857142855	0.050964719143762556	3	2	6	5
logistic_regression	residue_residue	3	5	15	67	16	21	46	5	11	3982	3971	10	10	1.0	0.7300000000000001	8.102477758002351	0.5625	0.5181818181818182	0.6545454545454545	0.3333333333333333	0.4	0.36363636363636365	0.034815531191139566	2	3	4	7
logistic_regression	residue_residue	4	1	16	66	17	20	46	6	11	3982	3971	10	10	0.1	0.5761111111111111	8.173739270001533	0.7058823529411765	0.7348484848484849	0.7272727272727273	0.5555555555555556	0.8333333333333334	0.6666666666666666	0.4497006112188861	5	1	4	7
logistic_regression	residue_residue	4	2	17	66	17	21	45	5	12	3982	3971	20	20	100.0	0.7438888888888888	8.045235924000735	0.7058823529411765	0.675	0.7166666666666667	0.5	0.6	0.5454545454545454	0.3337119062359573	3	2	3	9
logistic_regression	residue_residue	4	3	18	66	17	21	45	5	12	3982	3970	10	10	0.1	0.6855555555555555	8.090142134999041	0.5294117647058824	0.43333333333333335	0.43333333333333335	0.2	0.2	0.2	-0.13333333333333333	1	4	4	8
logistic_regression	residue_residue	4	4	19	67	16	21	46	5	11	3982	3971	10	10	1.0	0.8394444444444444	8.084005631004402	0.625	0.6181818181818182	0.7272727272727273	0.42857142857142855	0.6	0.5	0.22084711628963774	3	2	4	7
logistic_regression	residue_residue	4	5	20	67	16	21	46	5	11	3982	3971	10	10	10.0	0.7733333333333334	8.03919109099661	0.6875	0.6090909090909091	0.8363636363636364	0.5	0.4	0.4444444444444444	0.23354968324845687	2	3	2	9
logistic_regression	residue_residue	5	1	21	66	17	20	46	6	11	3982	3971	5	5	100.0	0.7149999999999999	8.114742133002437	0.5294117647058824	0.5227272727272727	0.7424242424242424	0.375	0.5	0.42857142857142855	0.04351941398892446	3	3	5	6
logistic_regression	residue_residue	5	2	22	66	17	21	45	5	12	3982	3971	5	5	100.0	0.6933333333333334	8.418524130996957	0.8235294117647058	0.8166666666666667	0.8333333333333333	0.6666666666666666	0.8	0.7272727272727273	0.6038596398555418	4	1	2	10
logistic_regression	residue_residue	5	3	23	66	17	21	45	5	12	3982	3971	50	50	0.1	0.6344444444444444	8.061557400003949	0.6470588235294118	0.6333333333333333	0.7333333333333333	0.42857142857142855	0.6	0.5	0.24688535993934707	3	2	4	8
logistic_regression	residue_residue	5	4	24	67	16	21	46	5	11	3982	3971	20	20	1.0	0.6949999999999998	8.17755007800588	0.6875	0.6090909090909091	0.7818181818181817	0.5	0.4	0.4444444444444444	0.23354968324845687	2	3	2	9
logistic_regression	residue_residue	5	5	25	67	16	21	46	5	11	3982	3970	20	20	100.0	0.6822222222222222	8.034378741002001	0.6875	0.6090909090909091	0.7818181818181817	0.5	0.4	0.4444444444444444	0.23354968324845687	2	3	2	9
logistic_regression	combined_all	1	1	1	66	17	20	46	6	11	4086	4069	20	20	0.1	0.6877777777777777	8.752911711999332	0.5294117647058824	0.48484848484848486	0.5909090909090909	0.3333333333333333	0.3333333333333333	0.3333333333333333	-0.030303030303030304	2	4	4	7
logistic_regression	combined_all	1	2	2	66	17	21	45	5	12	4086	4068	10	10	0.01	0.6683333333333333	8.20026706900535	0.35294117647058826	0.30833333333333335	0.4666666666666667	0.125	0.2	0.15384615384615385	-0.34993385618385614	1	4	7	5
logistic_regression	combined_all	1	3	3	66	17	21	45	5	12	4086	4069	5	5	0.01	0.5761111111111111	8.271300728003553	0.7647058823529411	0.775	0.9166666666666667	0.5714285714285714	0.8	0.6666666666666666	0.5092010548749033	4	1	3	9
logistic_regression	combined_all	1	4	4	67	16	21	46	5	11	4086	4069	50	50	1.0	0.7449999999999999	8.165402204998827	0.6875	0.5545454545454546	0.49090909090909096	0.5	0.2	0.2857142857142857	0.15289415743128767	1	4	1	10
logistic_regression	combined_all	1	5	5	67	16	21	46	5	11	4086	4069	5	5	1.0	0.7022222222222222	8.252757273003226	0.5	0.4727272727272727	0.6545454545454545	0.2857142857142857	0.4	0.3333333333333333	-0.050964719143762556	2	3	5	6
logistic_regression	combined_all	2	1	6	66	17	20	46	6	11	4086	4069	5	5	10.0	0.6444444444444444	8.206736072002968	0.7058823529411765	0.7348484848484849	0.6818181818181819	0.5555555555555556	0.8333333333333334	0.6666666666666666	0.4497006112188861	5	1	4	7
logistic_regression	combined_all	2	2	7	66	17	21	45	5	12	4086	4069	10	10	100.0	0.6088888888888888	8.178548898998997	0.8235294117647058	0.7583333333333333	0.8833333333333334	0.75	0.6	0.6666666666666666	0.5549890273805606	3	2	1	11
logistic_regression	combined_all	2	3	8	66	17	21	45	5	12	4086	4068	5	5	100.0	0.5905555555555555	8.24772452400066	0.8823529411764706	0.8583333333333334	0.8166666666666668	0.8	0.8	0.8	0.7166666666666667	4	1	1	11
logistic_regression	combined_all	2	4	9	67	16	21	46	5	11	4086	4069	10	10	10.0	0.6883333333333332	8.129033813995193	0.8125	0.8090909090909091	0.8727272727272728	0.6666666666666666	0.8	0.7272727272727273	0.5918640302493726	4	1	2	9
logistic_regression	combined_all	2	5	10	67	16	21	46	5	11	4086	4069	5	5	10.0	0.6677777777777777	8.178205649004667	0.5	0.4727272727272727	0.4545454545454546	0.2857142857142857	0.4	0.3333333333333333	-0.050964719143762556	2	3	5	6
logistic_regression	combined_all	3	1	11	66	17	20	46	6	11	4086	4069	20	20	10.0	0.6938888888888888	8.077558810997289	0.7058823529411765	0.6590909090909092	0.8181818181818181	0.6	0.5	0.5454545454545454	0.3337119062359573	3	3	2	9
logistic_regression	combined_all	3	2	12	66	17	21	45	5	12	4086	4068	20	20	0.1	0.605	8.130466358001286	0.6470588235294118	0.6333333333333333	0.6833333333333333	0.42857142857142855	0.6	0.5	0.24688535993934707	3	2	4	8
logistic_regression	combined_all	3	3	13	66	17	21	45	5	12	4086	4069	10	10	100.0	0.735	8.11368727000081	0.6470588235294118	0.6916666666666667	0.7166666666666667	0.4444444444444444	0.8	0.5714285714285714	0.34993385618385614	4	1	5	7
logistic_regression	combined_all	3	4	14	67	16	21	46	5	11	4086	4069	10	10	10.0	0.7444444444444444	8.151670229999581	0.5	0.5272727272727272	0.6545454545454545	0.3333333333333333	0.6	0.42857142857142855	0.050964719143762556	3	2	6	5
logistic_regression	combined_all	3	5	15	67	16	21	46	5	11	4086	4069	10	10	1.0	0.7550000000000001	8.11804603899509	0.5625	0.5181818181818182	0.6545454545454545	0.3333333333333333	0.4	0.36363636363636365	0.034815531191139566	2	3	4	7
logistic_regression	combined_all	4	1	16	66	17	20	46	6	11	4086	4069	10	10	0.1	0.5899999999999999	8.144716046997928	0.7058823529411765	0.7348484848484849	0.7272727272727273	0.5555555555555556	0.8333333333333334	0.6666666666666666	0.4497006112188861	5	1	4	7
logistic_regression	combined_all	4	2	17	66	17	21	45	5	12	4086	4069	20	20	0.1	0.7538888888888888	8.15043230500305	0.5294117647058824	0.43333333333333335	0.55	0.2	0.2	0.2	-0.13333333333333333	1	4	4	8
logistic_regression	combined_all	4	3	18	66	17	21	45	5	12	4086	4068	10	10	0.1	0.6855555555555555	8.180366444001265	0.5294117647058824	0.43333333333333335	0.43333333333333335	0.2	0.2	0.2	-0.13333333333333333	1	4	4	8
logistic_regression	combined_all	4	4	19	67	16	21	46	5	11	4086	4069	10	10	1.0	0.8283333333333334	8.262027602999297	0.6875	0.6636363636363636	0.8	0.5	0.6	0.5454545454545454	0.3133397807202561	3	2	3	8
logistic_regression	combined_all	4	5	20	67	16	21	46	5	11	4086	4069	5	5	1.0	0.7727777777777779	8.18339543500042	0.625	0.5636363636363637	0.8	0.4	0.4	0.4	0.12727272727272726	2	3	3	8
logistic_regression	combined_all	5	1	21	66	17	20	46	6	11	4086	4069	20	20	1.0	0.678888888888889	8.16880435100029	0.6470588235294118	0.6515151515151515	0.6212121212121212	0.5	0.6666666666666666	0.5714285714285714	0.29012942659282975	4	2	4	7
logistic_regression	combined_all	5	2	22	66	17	21	45	5	12	4086	4069	5	5	10.0	0.671111111111111	8.220380208003917	0.8235294117647058	0.8166666666666667	0.8333333333333333	0.6666666666666666	0.8	0.7272727272727273	0.6038596398555418	4	1	2	10
logistic_regression	combined_all	5	3	23	66	17	21	45	5	12	4086	4069	50	50	1.0	0.6649999999999999	8.214082594000502	0.8235294117647058	0.8166666666666667	0.8166666666666668	0.6666666666666666	0.8	0.7272727272727273	0.6038596398555418	4	1	2	10
logistic_regression	combined_all	5	4	24	67	16	21	46	5	11	4086	4069	20	20	100.0	0.6972222222222222	8.171556061999581	0.6875	0.6090909090909091	0.7454545454545454	0.5	0.4	0.4444444444444444	0.23354968324845687	2	3	2	9
logistic_regression	combined_all	5	5	25	67	16	21	46	5	11	4086	4068	20	20	10.0	0.6822222222222222	8.23512483399827	0.6875	0.6090909090909091	0.7636363636363637	0.5	0.4	0.4444444444444444	0.23354968324845687	2	3	2	9
