feature_set	display_label	permutation_id	null_mean_balanced_accuracy	observed_mean_balanced_accuracy	n_null_ge_observed	permutation_p_value
residue_ligand	Residue–ligand	26	0.5976666666666667	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	27	0.4659393939393939	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	28	0.3896363636363636	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	29	0.5535757575757576	0.5828787878787879	3	0.1290322580645161
residue_ligand	Residue–ligand	30	0.4563636363636364	0.5828787878787879	3	0.1290322580645161
residue_cofactor	Residue–GTP	1	0.5043939393939394	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	2	0.4589696969696969	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	3	0.5711818181818182	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	4	0.5644848484848485	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	5	0.4632424242424243	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	6	0.4714242424242424	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	7	0.4766666666666667	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	8	0.454030303030303	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	9	0.4473333333333333	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	10	0.4181212121212121	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	11	0.4956060606060606	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	12	0.5085454545454546	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	13	0.4882121212121212	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	14	0.5232727272727273	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	15	0.509	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	16	0.4614545454545454	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	17	0.5365454545454544	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	18	0.4817878787878789	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	19	0.5094545454545455	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	20	0.5464848484848486	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	21	0.4673939393939394	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	22	0.4719393939393939	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	23	0.4804848484848484	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	24	0.468	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	25	0.4842727272727272	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	26	0.4988181818181818	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	27	0.5821212121212122	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	28	0.5263030303030303	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	29	0.4626060606060606	0.594030303030303	0	0.032258064516129
residue_cofactor	Residue–GTP	30	0.4375151515151515	0.594030303030303	0	0.032258064516129
residue_residue	Residue–residue	1	0.4137575757575757	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	2	0.5418484848484849	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	3	0.5024242424242424	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	4	0.5307575757575758	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	5	0.5358484848484849	0.6427878787878787	0	0.032258064516129
residue_residue	Residue–residue	6	0.5299090909090909	0.6427878787878787	0	0.032258064516129
