feature_set	outer_split_1	outer_split_2	n_selected_split_1	n_selected_split_2	intersection_size	union_size	jaccard_similarity
combined_all	1	7	20	10	5	25	0.2
combined_all	1	8	20	5	4	21	0.19047619047619047
combined_all	1	9	20	10	6	24	0.25
combined_all	1	10	20	5	3	22	0.13636363636363635
combined_all	1	11	20	20	5	35	0.14285714285714285
combined_all	1	12	20	20	4	36	0.1111111111111111
combined_all	1	13	20	10	6	24	0.25
combined_all	1	14	20	10	5	25	0.2
combined_all	1	15	20	10	5	25	0.2
combined_all	1	16	20	10	5	25	0.2
combined_all	1	17	20	20	6	34	0.17647058823529413
combined_all	1	18	20	10	3	27	0.1111111111111111
combined_all	1	19	20	10	5	25	0.2
combined_all	1	20	20	5	3	22	0.13636363636363635
combined_all	1	21	20	20	5	35	0.14285714285714285
combined_all	1	22	20	5	4	21	0.19047619047619047
combined_all	1	23	20	50	7	63	0.1111111111111111
combined_all	1	24	20	20	8	32	0.25
combined_all	1	25	20	20	12	28	0.42857142857142855
combined_all	2	3	10	5	3	12	0.25
combined_all	2	4	10	50	4	56	0.07142857142857142
combined_all	2	5	10	5	2	13	0.15384615384615385
combined_all	2	6	10	5	3	12	0.25
combined_all	2	7	10	10	2	18	0.1111111111111111
combined_all	2	8	10	5	3	12	0.25
combined_all	2	9	10	10	5	15	0.3333333333333333
combined_all	2	10	10	5	2	13	0.15384615384615385
combined_all	2	11	10	20	6	24	0.25
combined_all	2	12	10	20	3	27	0.1111111111111111
combined_all	2	13	10	10	4	16	0.25
combined_all	2	14	10	10	2	18	0.1111111111111111
combined_all	2	15	10	10	4	16	0.25
combined_all	2	16	10	10	2	18	0.1111111111111111
combined_all	2	17	10	20	6	24	0.25
combined_all	2	18	10	10	2	18	0.1111111111111111
combined_all	2	19	10	10	4	16	0.25
combined_all	2	20	10	5	3	12	0.25
combined_all	2	21	10	20	4	26	0.15384615384615385
combined_all	2	22	10	5	3	12	0.25
combined_all	2	23	10	50	8	52	0.15384615384615385
combined_all	2	24	10	20	4	26	0.15384615384615385
combined_all	2	25	10	20	4	26	0.15384615384615385
combined_all	3	4	5	50	3	52	0.057692307692307696
combined_all	3	5	5	5	3	7	0.42857142857142855
combined_all	3	6	5	5	3	7	0.42857142857142855
combined_all	3	7	5	10	3	12	0.25
combined_all	3	8	5	5	3	7	0.42857142857142855
combined_all	3	9	5	10	3	12	0.25
combined_all	3	10	5	5	1	9	0.1111111111111111
combined_all	3	11	5	20	3	22	0.13636363636363635
combined_all	3	12	5	20	4	21	0.19047619047619047
combined_all	3	13	5	10	3	12	0.25
combined_all	3	14	5	10	1	14	0.07142857142857142
combined_all	3	15	5	10	3	12	0.25
combined_all	3	16	5	10	1	14	0.07142857142857142
combined_all	3	17	5	20	3	22	0.13636363636363635
combined_all	3	18	5	10	2	13	0.15384615384615385
combined_all	3	19	5	10	3	12	0.25
combined_all	3	20	5	5	4	6	0.6666666666666666
combined_all	3	21	5	20	3	22	0.13636363636363635
combined_all	3	22	5	5	3	7	0.42857142857142855
combined_all	3	23	5	50	4	51	0.0784313725490196
combined_all	3	24	5	20	3	22	0.13636363636363635
combined_all	3	25	5	20	3	22	0.13636363636363635
combined_all	4	5	50	5	3	52	0.057692307692307696
combined_all	4	6	50	5	4	51	0.0784313725490196
combined_all	4	7	50	10	5	55	0.09090909090909091
combined_all	4	8	50	5	3	52	0.057692307692307696
combined_all	4	9	50	10	6	54	0.1111111111111111
combined_all	4	10	50	5	3	52	0.057692307692307696
combined_all	4	11	50	20	7	63	0.1111111111111111
combined_all	4	12	50	20	12	58	0.20689655172413793
combined_all	4	13	50	10	7	53	0.1320754716981132
combined_all	4	14	50	10	6	54	0.1111111111111111
combined_all	4	15	50	10	7	53	0.1320754716981132
combined_all	4	16	50	10	5	55	0.09090909090909091
combined_all	4	17	50	20	12	58	0.20689655172413793
combined_all	4	18	50	10	4	56	0.07142857142857142
combined_all	4	19	50	10	8	52	0.15384615384615385
combined_all	4	20	50	5	3	52	0.057692307692307696
combined_all	4	21	50	20	14	56	0.25
combined_all	4	22	50	5	5	50	0.1
combined_all	4	23	50	50	22	78	0.28205128205128205
combined_all	4	24	50	20	12	58	0.20689655172413793
combined_all	4	25	50	20	7	63	0.1111111111111111
combined_all	5	6	5	5	2	8	0.25
combined_all	5	7	5	10	2	13	0.15384615384615385
combined_all	5	8	5	5	2	8	0.25
combined_all	5	9	5	10	2	13	0.15384615384615385
combined_all	5	10	5	5	2	8	0.25
combined_all	5	11	5	20	2	23	0.08695652173913043
combined_all	5	12	5	20	4	21	0.19047619047619047
combined_all	5	13	5	10	3	12	0.25
combined_all	5	14	5	10	1	14	0.07142857142857142
combined_all	5	15	5	10	2	13	0.15384615384615385
combined_all	5	16	5	10	3	12	0.25
combined_all	5	17	5	20	3	22	0.13636363636363635
combined_all	5	18	5	10	1	14	0.07142857142857142
combined_all	5	19	5	10	2	13	0.15384615384615385
combined_all	5	20	5	5	3	7	0.42857142857142855
combined_all	5	21	5	20	4	21	0.19047619047619047
combined_all	5	22	5	5	2	8	0.25
combined_all	5	23	5	50	3	52	0.057692307692307696
combined_all	5	24	5	20	4	21	0.19047619047619047
combined_all	5	25	5	20	3	22	0.13636363636363635
combined_all	6	7	5	10	2	13	0.15384615384615385
